  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
   atan2dp	         316567	        2164143	       61577996	    31174736926	
   atan2sp	          92455	         551583	       17525047	     7406101329	
    atandp	         221506	        1387220	       48233150	    35140562882	
    atansp	          93498	         559583	       14189657	    13897268829	
     cosdp	         156491	         867767	       27606902	    28300915916	
     cossp	          83705	         476789	       15144549	    15505567551	
     divdp	         116713	         568203	       17861838	    18266568198	
     divsp	          62589	         299101	        9517153	     9742231801	
   exp10dp	         187821	         483231	       11644326	    11828339516	
   exp10sp	          61670	         299999	        9502119	     9741041513	
    exp2dp	         190169	         769269	       11928382	    11826761406	
    exp2sp	          65726	         303985	        9527413	     9741961995	
     expdp	         183713	         581309	        9965442	     9947453950	
     expsp	          65180	         304191	        9506401	     9742282879	
   log10dp	         226256	        1422066	       18384592	    11034894988	
   log10sp	          81672	         478479	       15147513	    15506276499	
    log2dp	         224766	        1424158	       23443992	    11035420896	
    log2sp	          82948	         475237	       15134551	    15508561993	
     logdp	         222798	        1419324	       20871454	    11032838640	
     logsp	         103858	         660729	       21142161	    21651801279	
     powdp	         359519	        2497680	       36063850	     9616644802	
     powsp	         140466	         920549	       11915761	     8002116051	
   recipdp	         122493	         648090	       20579820	    21049103302	
   recipsp	          61701	         279541	        8855595	     9071274471	
   rsqrtdp	         129174	         649503	       20612278	    21080943922	
   rsqrtsp	          65310	         326715	       10293469	    10545966377	
     sindp	         150524	         853026	       22498940	    22670456212	
     sinsp	          81685	         450713	       14356189	    14699707153	
    sqrtdp	         132931	         688682	       21898620	    22433002094	
    sqrtsp	          66090	         341693	       10820375	    11082478639	
