  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
 atan2dp_i	         162329	         919419	       25043618	    14669920202	
 atan2sp_i	          71342	         403803	       12775553	    13089669565	
  atandp_i	         156535	         874895	       29306120	    23243562182	
  atansp_i	          73280	         393403	       12520687	    12810817031	
     cmp_i	       79734744	      214298383	     5987061506	  6095468716149	
   cosdp_i	         105269	         479677	       15233538	    15587410166	
   cossp_i	          78597	         443657	       13964801	    14298266553	
   divdp_i	          68767	         172214	        5289624	     5403799538	
   divsp_i	          41661	         152047	        4654965	     4776945345	
 exp10dp_i	         116320	         559294	       17733748	    18136907660	
 exp10sp_i	          67771	         352991	       11314235	    11609797203	
  exp2dp_i	         113548	         559450	       17698324	    18133498398	
  exp2sp_i	          80618	         443789	       14101665	    14430020947	
   expdp_i	         115727	         542863	       17184964	    17597520370	
   expsp_i	          71331	         355109	       11333653	    11610576893	
 log10dp_i	         156862	         924233	       25697416	    25368940456	
 log10sp_i	          68055	         345099	       10827391	    11076477701	
  log2dp_i	         154673	         920957	       26342510	    25238675608	
  log2sp_i	          64721	         342131	       10824101	    11075062005	
   logdp_i	         157293	         908579	       25981630	    25636433460	
   logsp_i	          65535	         325467	       10294535	    10539847603	
   powdp_i	         225710	        1420674	       43118956	    43233535332	
   powsp_i	         106630	         643693	       20508055	    21006965569	
 recipdp_i	          84511	         288895	        9051418	     9272946036	
 recipsp_i	          49720	         204321	        6372045	     6515596209	
 rsqrtdp_i	          89310	         348946	       11032838	    11288596966	
 rsqrtsp_i	          59246	         267469	        8458171	     8665531787	
   sindp_i	         103593	         455162	       14437230	    14781291874	
   sinsp_i	          69676	         375939	       11878595	    12150686675	
  sqrtdp_i	          92976	         397665	       12591240	    12899022364	
  sqrtsp_i	          57803	         286873	        9148675	     9334998225	
