  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
   atan2dp	         351517	        2464043	       69799382	    35034581210	
   atan2sp	         101073	         623255	       19758177	     8187959975	
    atandp	         239732	        1569142	       54608816	    39589765996	
    atansp	         100024	         632427	       15939975	    15613826747	
     cosdp	         167009	         980377	       31107512	    31824618980	
     cossp	          87581	         537779	       17051851	    17453082629	
     divdp	         118978	         629049	       19871970	    20329005024	
     divsp	          62781	         336881	       10612683	    10855165373	
   exp10dp	         208569	         516961	       12786356	    12971830966	
   exp10sp	          64658	         335861	       10619587	    10855520111	
    exp2dp	         210327	         804187	       13080730	    12967053680	
    exp2sp	          68694	         339598	       10626147	    10857908173	
     expdp	         202807	         611421	       10821342	    10817571704	
     expsp	          67247	         339329	       10606587	    10857283051	
   log10dp	         249334	        1617860	       20467122	    12057442448	
   log10sp	          89072	         539377	       17052907	    17453614277	
    log2dp	         245222	        1614320	       26249636	    12059258294	
    log2sp	          90466	         539229	       17057757	    17455418649	
     logdp	         243684	        1613500	       23308104	    12057435478	
     logsp	         117326	         750239	       23870359	    24430651045	
     powdp	         399585	        2844841	       40597740	    10433186166	
     powsp	         154101	        1046087	       13372015	     8867672097	
   recipdp	         134787	         728335	       22986412	    23493624984	
   recipsp	          60933	         315235	        9866947	    10088606389	
   rsqrtdp	         134859	         729997	       23019656	    23549666330	
   rsqrtsp	          65932	         365859	       11509221	    11777824837	
     sindp	         167260	         960678	       25193194	    25379239884	
     sinsp	          85181	         509901	       16150663	    16531530201	
    sqrtdp	         138351	         779207	       24530694	    25089344962	
    sqrtsp	          70790	         383081	       12117347	    12391669595	
