  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
 atan2dp_i	         250667	        1755327	       46957630	    26037309952	
 atan2sp_i	         110828	         766305	       23985435	    24542677667	
  atandp_i	         239597	        1659933	       55530586	    43217081854	
  atansp_i	         109520	         748275	       23441683	    23993477827	
     cmp_i	       81095999	      359481858	    10960379014	 11211108328857	
   cosdp_i	         144449	         895491	       27241810	    27867249642	
   cossp_i	         120761	         840023	       26349319	    26968602821	
   divdp_i	          60514	         270768	        7338556	     7499432962	
   divsp_i	          48879	         254171	        7724417	     7897053295	
 exp10dp_i	         161436	        1043374	       32205972	    32972804784	
 exp10sp_i	         100419	         672263	       21083299	    21588636093	
  exp2dp_i	         161146	        1042978	       32213992	    32969359800	
  exp2sp_i	         121143	         851165	       26611635	    27225651229	
   expdp_i	         158033	        1017153	       31183586	    31896142680	
   expsp_i	          98497	         669613	       21094599	    21590318461	
 log10dp_i	         252512	        1778760	       48033296	    47486793122	
 log10sp_i	          95201	         645457	       20062235	    20515817607	
  log2dp_i	         248913	        1768839	       49439768	    47220181654	
  log2sp_i	          97025	         642455	       20055185	    20513652287	
   logdp_i	         248251	        1742781	       48710310	    48023131596	
   logsp_i	          91427	         610037	       19008821	    19440007075	
   powdp_i	         373640	        2768718	       83014912	    83209604854	
   powsp_i	         171770	        1252579	       39460367	    40389312473	
 recipdp_i	          92133	         502605	       14911076	    15243358092	
 recipsp_i	          59876	         368837	       11126345	    11378338175	
 rsqrtdp_i	         106068	         623900	       18841210	    19272169274	
 rsqrtsp_i	          77020	         496513	       15336283	    15680070737	
   sindp_i	         135404	         838682	       25677842	    26253080108	
   sinsp_i	         104868	         710189	       22152437	    22657170871	
  sqrtdp_i	         121157	         721742	       21991905	    22497947622	
  sqrtsp_i	          82485	         538195	       16642717	    17024245057	
