  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
   atan2dp	         561627	        4252129	      119757064	    58912384462	
   atan2sp	         147785	        1063285	       33438799	    13154816945	
    atandp	         366721	        2699012	       93406582	    67133324392	
    atansp	         153052	        1078279	       26781475	    26167212719	
     cosdp	         240155	        1665785	       52136960	    53369815572	
     cossp	         129429	         915609	       28711079	    29382037919	
     divdp	         162523	        1053107	       32495122	    33237892710	
     divsp	          87113	         563833	       17430843	    17831725199	
   exp10dp	         234653	         768923	       19988706	    20340876262	
   exp10sp	          88490	         563867	       17433111	    17831659233	
    exp2dp	         314615	        1054039	       20254674	    20342007168	
    exp2sp	          93780	         568709	       17434339	    17832837081	
     expdp	         299543	         807219	       16464770	    16579173218	
     expsp	          89583	         567653	       17435891	    17832492413	
   log10dp	         381074	        2772584	       33541032	    18764578526	
   log10sp	         129496	         915069	       28715061	    29382701457	
    log2dp	         379378	        2773537	       43689536	    18775988388	
    log2sp	         129958	         915051	       28714497	    29384304723	
     logdp	         379976	        2766698	       38546254	    18772042942	
     logsp	         177012	        1283971	       40599225	    41556392497	
     powdp	         645933	        4923243	       68493496	    15962504316	
     powsp	         240671	        1799717	       22141481	    14346248277	
   recipdp	         182648	        1225380	       37989124	    38848923914	
   recipsp	          82545	         519383	       16128213	    16487643981	
   rsqrtdp	         181561	        1222437	       37991078	    38880558838	
   rsqrtsp	          91598	         610675	       19001241	    19445417523	
     sindp	         234664	        1628730	       41835284	    42093551890	
     sinsp	         123115	         869029	       27140445	    27768985475	
    sqrtdp	         196553	        1300902	       40634176	    41575959070	
    sqrtsp	          95598	         642173	       20045461	    20519321751	
