  Function	     4096 words	    32768 words	  1048576 words	1073741824 words	
 atan2dp_i	         177432	        1038589	       28136462	    16216195026	
 atan2sp_i	          77530	         452799	       14357261	    14687959663	
  atandp_i	         170529	         976639	       33012364	    26020016304	
  atansp_i	          79510	         444127	       14041397	    14376737597	
     cmp_i	       70492539	      239040472	     6685661666	  6809620925897	
   cosdp_i	         108441	         537621	       16863462	    17265315942	
   cossp_i	          81625	         497237	       15709114	    16074627524	
   divdp_i	          62194	         181312	        5515216	     5629777888	
   divsp_i	          43011	         163701	        5061247	     5183145539	
 exp10dp_i	         122432	         631120	       19733116	    20185679848	
 exp10sp_i	          70034	         398621	       12692205	    12996124953	
  exp2dp_i	         119132	         625350	       19730898	    20181998384	
  exp2sp_i	          85556	         501723	       15853445	    16223270047	
   expdp_i	         118097	         608473	       19136058	    19563879418	
   expsp_i	          72611	         400275	       12692465	    12997187443	
 log10dp_i	         173886	        1046256	       28853714	    28461391686	
 log10sp_i	          71165	         385147	       12097703	    12386742463	
  log2dp_i	         169297	        1040895	       29617252	    28309764528	
  log2sp_i	          71653	         384115	       12096161	    12386093703	
   logdp_i	         168319	        1026665	       29197206	    28765919084	
   logsp_i	          68379	         368657	       11508763	    11773217677	
   powdp_i	         243622	        1608046	       48761250	    48869346790	
   powsp_i	         112186	         730863	       23174013	    23740538805	
 recipdp_i	          79879	         318343	        9827306	    10054369070	
 recipsp_i	          48532	         222479	        7004337	     7171394307	
 rsqrtdp_i	          88836	         385206	       12064765	    12357386996	
 rsqrtsp_i	          59132	         302989	        9422249	     9628057273	
   sindp_i	         109388	         511636	       15975472	    16344970984	
   sinsp_i	          73828	         420451	       13293775	    13612792217	
  sqrtdp_i	          94308	         443632	       13890568	    14198000976	
  sqrtsp_i	          61039	         322971	       10155223	    10394089227	
